run_id,axis,value,seed,run_code_commit,config_ref,config_sha256,status,U,S,H,ZS,best_update,output_uri,decision
REFERENCE,V3-TRY-041,baseline,7,4d46ba1ef8d1c53c0e7fd5c5623f3c56af6dc1b2,config/tries/v3_try_041_gtd_scratch_fixed150.yaml,,external_reference,79.624420,76.670682,78.119641,85.794950,80,D:/backup/Documents/ChatGPT/GZSL_Warehouse/tries/v3/gtd-scratch/V3-TRY-041,baseline
RUN-001,gate_loss_weight,0.5,7,08ed506fa73c51903c5f2ac0d5571caef37b25cd,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-001.yaml,2e562ddd999983a1f9e943cad81e33d3c3c0d15f9e3137af59e35441adaadd8b,completed,79.691100,76.670682,78.151719,85.794950,11280,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-001,not_selected
RUN-002,gate_loss_weight,2.0,7,08ed506fa73c51903c5f2ac0d5571caef37b25cd,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-002.yaml,96faea4c2b352ac17d9c33a6c98154c0fe450dd3094e867a8d28bdef9e0440d7,completed,79.726130,76.554513,78.108138,85.862178,11280,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-002,drop
RUN-003,gate_learning_rate,3.0e-5,7,08ed506fa73c51903c5f2ac0d5571caef37b25cd,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-003.yaml,69bf07529b938ff4a5d7bf48951aed6e5abadabe5a08b14e81dc2241b3239408,completed,79.227144,76.913601,78.053232,85.397089,11280,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-003,drop
RUN-004,gate_learning_rate,3.0e-4,7,08ed506fa73c51903c5f2ac0d5571caef37b25cd,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-004.yaml,4330be5ecd1086c93d3bdeac147939a45bb6a72e3eaa69fc90429ca845a6709a,completed,80.166322,76.207912,78.137016,85.956633,11280,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-004,not_selected
RUN-005,constant_tg_learning_rate,3.0e-5,7,08ed506fa73c51903c5f2ac0d5571caef37b25cd,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-005.yaml,0bb4c185936269dc8297f704e192efb7ca5588285e6a73335fb5e441960a9a66,completed,70.796305,82.468259,76.187840,84.673619,21009,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-005,drop
RUN-006,constant_tg_learning_rate,3.0e-4,7,08ed506fa73c51903c5f2ac0d5571caef37b25cd,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-006.yaml,a81178ed6a2c75fd6210a16cc9bd61f905c91569a6dc6609f7a3931789bd7012,completed,78.843796,77.502424,78.167356,86.118478,3243,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-006,stage2_winner
RUN-007,max_transport_step,0.75,7,08ed506fa73c51903c5f2ac0d5571caef37b25cd,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-007.yaml,c02267c6214736b7d2eeac70547b6fab0f3c7e2c4a9b4d8f34cb2d55b326261b,completed,78.985441,77.194548,78.079726,85.490996,11280,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-007,drop
RUN-008,max_transport_step,3.0,7,08ed506fa73c51903c5f2ac0d5571caef37b25cd,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-008.yaml,aae1371e30cc3307ba7393db8a18f79b22740ccbb662c4ec26ca472df881115b,completed,79.701638,76.709896,78.177155,85.803193,11280,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-008,stage2_winner
RUN-009,constant_tg_lr_plus_max_step,3.0e-4+3.0,7,962d31d794c45044e86285fbcb60dd3b9267b78f,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-009.yaml,e94d43ca36c23898e551a5df0a171625eadbcdd08999b150f4be6161acf53864,completed,78.998828,77.349639,78.165535,86.207408,3243,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-009,not_selected_below_RUN-008
RUN-010,constant_tg_learning_rate,5.0e-4,7,pending_final_freeze,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-010.yaml,6f615426abaa7c17660d104669fb78c97d43162d90bf1504bfb423df0de5c14b,pending,,,,,,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-010,stage3
RUN-011,constant_tg_learning_rate,7.0e-4,7,pending_final_freeze,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-011.yaml,cc3839d21909207823bb841fcc62b84d83a4205ff536a0ed42965bb872d29e7e,pending,,,,,,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-011,stage3
RUN-012,constant_tg_learning_rate,1.0e-3,7,pending_final_freeze,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-012.yaml,1d16649c484e66ffd785371cdecc7b7a4be4ffd4c4db49ae3a45c135397b25ac,pending,,,,,,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-012,stage3
RUN-013,max_transport_step,2.25,7,pending_final_freeze,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-013.yaml,82512e03664bd5d339062ea10841ed4bb69f2bc1f2f0a486bfd7eae134a35f76,pending,,,,,,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-013,stage3
RUN-014,max_transport_step,4.0,7,pending_final_freeze,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-014.yaml,447f21090bda80e3dbd35559d3f97b5676454a5f364b471257a4443cf3bca440,pending,,,,,,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-014,stage3
RUN-015,topology_weight,0.0,7,pending_final_freeze,experiments/v4/tune/TUNE-002_tg_gtd_hparams/configs/RUN-015.yaml,20daa8add5b0fea3cb99ad8099703c30551a9a20881e897dd114077673d5fc19,pending,,,,,,/data/lby/projects/cv_project/GZSL_Warehouse/tune/v4/TUNE-002_tg_gtd_hparams/RUN-015,stage3
